educ,cigpric,white,age,income,cigs,restaurn
8,57.835,1,51,1500,20,0
12,58.795,1,33,30000,10,0
13.5,57.069,1,39,30000,0,0
12,57.762,1,21,20000,20,0
13.5,58.255,1,37,30000,0,0
18,58.885,1,70,30000,0,0
12,57.871,1,20,30000,0,0
16,57.069,1,27,12500,0,0
16,58.885,1,28,20000,4,0
16,66.761,1,30,20000,0,0
13.5,65.767,1,52,20000,20,0
18,65.199,1,24,12500,0,0
12,65.767,1,71,12500,0,0
12,67.115,1,39,20000,50,0
12,68.335,1,19,8500,10,0
13.5,66.973,1,21,20000,0,0
16,67.399,1,33,3500,0,0
13.5,66.122,1,51,20000,0,0
8,65.767,1,54,30000,20,0
13.5,67.541,1,44,20000,25,0
12,67.115,1,43,30000,0,0
6,65.767,1,68,5500,0,0
12,66.761,1,22,20000,0,0
10,65.838,1,54,30000,40,0
16,67.825,1,37,30000,30,0
13.5,66.548,1,22,30000,15,0
18,58.381,1,65,30000,0,1
12,60.224,1,30,30000,30,1
12,60.224,1,19,30000,2,1
15,60.349,1,35,30000,0,1
10,59.986,1,59,30000,0,1
12,58.202,1,18,1500,0,1
12,58.262,1,44,20000,20,1
16,58.856,1,37,20000,0,1
12,60.522,1,37,12500,20,1
12,58.202,1,19,500,0,1
12,58.975,1,25,20000,0,1
16,58.916,0,31,12500,20,1
12,59.986,1,19,30000,0,1
10,58.499,1,18,30000,0,1
16,59.867,1,28,20000,20,1
18,58.381,1,46,30000,0,1
12,58.262,1,27,20000,0,1
12,57.845,1,58,20000,0,1
12,60.522,1,19,30000,0,1
13.5,60.283,1,30,20000,3,1
13.5,58.737,1,58,30000,30,1
6,58.024,1,42,20000,10,1
13.5,58.083,1,45,30000,0,1
10,60.436,1,18,12500,14,1
12,60.551,0,40,30000,20,1
13.5,59.986,1,66,8500,0,1
12,60.224,1,64,8500,20,1
12,59.986,0,43,30000,20,1
10,60.551,1,53,30000,0,1
16,58.797,1,36,30000,30,1
13.5,60.493,1,43,20000,20,1
18,59.57,1,25,12500,0,1
12,60.464,1,35,30000,0,1
16,62.102,1,29,30000,0,1
12,62.465,1,18,3500,0,1
12,63.199,1,20,12500,0,1
12,62.344,1,19,30000,0,1
10,62.948,1,17,30000,0,1
18,61.498,0,29,30000,20,1
8,61.458,1,65,12500,0,1
12,61.498,1,42,20000,0,1
16,63.253,1,32,30000,0,1
18,62.948,1,36,30000,0,1
16,63.253,1,57,30000,0,1
12,62.465,1,31,12500,0,1
10,62.264,1,17,20000,0,1
10,62.948,0,17,20000,0,1
8,59.376,1,45,20000,8,0
12,59.621,1,19,30000,10,0
8,54.338,1,74,5500,0,0
12,53.653,1,46,30000,25,0
13.5,54.925,1,27,30000,0,0
12,56.294,1,66,20000,0,0
16,54.925,1,44,30000,0,0
12,55.022,1,33,30000,0,0
12,54.142,1,64,20000,0,0
13.5,57.485,1,54,30000,1,0
10,57.585,0,27,12500,30,0
6,57.485,1,75,4500,0,0
10,53.262,1,19,8500,0,0
6,56.979,1,69,2500,20,0
12,55.707,1,30,8500,0,0
12,56.098,1,64,12500,0,0
13.5,57.336,1,37,30000,0,0
12,54.436,1,31,30000,0,0
12,57.585,1,30,20000,2,0
6,55.015,1,38,30000,0,1
12,59.653,1,20,30000,0,1
12,59.653,1,21,3500,20,1
12,56.804,1,19,12500,0,1
18,58.464,1,71,12500,0,0
10,63.103,1,49,20000,18,0
10,55.168,1,42,8500,0,0
8,55.007,1,54,12500,10,0
13.5,55.168,1,24,20000,20,0
12,54.322,1,60,30000,0,0
12,55.168,1,54,20000,0,0
10,53.879,1,28,8500,20,0
8,64.994,1,67,12500,0,0
12,65.55,1,56,20000,40,0
16,64.048,1,36,30000,0,0
12,64.438,0,25,30000,0,0
13.5,65.828,1,34,20000,0,0
10,65.605,1,20,20000,5,0
13.5,64.493,1,21,30000,10,0
12,64.938,1,42,8500,0,0
13.5,64.549,1,28,12500,20,0
18,65.439,1,29,20000,0,0
8,64.994,1,70,5500,20,0
12,66.328,1,32,12500,30,0
13.5,65.772,0,42,30000,40,0
10,65.161,1,17,30000,30,0
12,66.784,1,24,20000,0,0
15,66.328,0,64,20000,0,0
12,65.717,1,57,30000,60,0
16,64.104,1,51,30000,0,0
13.5,65.717,1,29,12500,18,0
10,64.438,1,66,6500,20,0
13.5,64.382,1,62,30000,15,0
16,66.328,1,29,30000,40,0
6,65.605,1,58,8500,0,0
15,65.161,0,53,20000,0,0
13.5,65.439,1,38,30000,0,0
12,64.104,1,24,20000,0,0
8,66.384,1,59,20000,0,0
16,66.217,1,30,30000,0,0
8,64.382,1,37,20000,0,0
12,65.995,1,43,20000,0,0
12,66.162,0,60,20000,0,0
10,64.994,1,24,12500,40,0
12,64.549,1,60,12500,0,0
8,62.04,1,82,4500,0,0
12,64.192,1,61,20000,0,0
10,64.507,1,66,30000,0,0
15,61.85,1,33,30000,0,0
10,64.564,1,26,20000,19,0
8,64.192,0,85,20000,20,0
13.5,62.104,1,32,20000,0,0
10,63.369,1,27,8500,0,0
12,64.129,1,30,30000,20,0
12,62.673,1,30,5500,0,0
13.5,63.179,1,47,30000,0,0
12,61.85,1,18,6500,0,0
12,62.42,0,20,6500,0,0
18,62.547,1,32,30000,0,0
18,61.977,1,30,20000,0,0
10,63.686,1,17,20000,0,0
12,62.61,1,22,12500,10,0
13.5,61.787,1,43,30000,0,0
10,63.306,1,56,20000,40,0
6,61.977,1,64,6500,0,0
6,62.926,1,76,12500,0,0
12,64.002,1,28,12500,30,0
18,64.651,1,37,30000,0,0
15,63.622,1,38,20000,0,0
16,62.104,1,52,20000,20,0
8,63.116,1,68,12500,0,0
12,62.926,1,75,12500,0,0
13.5,61.85,1,54,30000,20,0
18,61.85,1,36,30000,40,0
6,62.357,1,37,4500,0,0
13.5,62.42,0,23,12500,28,0
6,64.192,1,36,6500,5,0
10,63.116,1,44,30000,0,0
18,64.192,0,56,20000,0,0
10,64.319,1,64,12500,0,0
13.5,62.99,1,45,30000,28,0
12,61.787,1,56,30000,30,0
8,63.179,1,62,30000,0,0
15,62.8,1,62,12500,0,0
16,64.564,1,52,30000,0,0
10,63.116,1,18,30000,0,0
12,64.065,1,47,500,0,0
18,63.179,1,52,30000,0,0
12,64.129,1,18,20000,0,0
13.5,64.065,1,26,12500,20,0
15,64.622,1,22,30000,0,0
6,63.116,1,65,6500,0,0
12,63.876,1,38,20000,20,0
13.5,63.053,1,20,20000,0,0
16,62.04,1,41,20000,60,0
16,63.306,1,28,20000,20,0
16,62.926,1,57,20000,0,0
10,63.179,1,44,8500,7,0
13.5,64.478,1,32,20000,0,0
13.5,64.129,1,22,8500,15,0
16,64.382,1,30,30000,0,0
16,62.42,1,30,12500,0,0
10,63.053,1,59,20000,40,0
6,64.002,1,42,8500,0,0
10,63.433,1,31,12500,20,0
12,63.369,1,39,20000,0,0
8,63.686,1,65,12500,0,0
10,62.104,0,78,12500,10,0
10,63.622,0,17,4500,0,0
18,63.559,1,34,30000,0,0
16,64.651,1,39,30000,0,0
10,62.8,1,49,12500,0,0
12,64.192,1,51,30000,0,0
12,61.85,1,19,20000,0,0
12,63.559,1,26,20000,30,0
12,62.293,1,82,6500,0,0
12,64.129,1,38,3500,10,0
12,62.8,1,32,20000,30,0
10,61.724,1,27,3500,30,0
12,64.564,1,35,20000,0,0
10,63.749,1,54,20000,0,0
12,61.977,1,37,30000,20,0
10,64.651,0,60,12500,10,0
10,63.433,1,17,30000,11,0
16,64.564,1,28,20000,40,0
8,62.167,1,35,12500,40,0
10,64.002,1,40,8500,20,0
6,64.129,1,24,3500,0,0
18,63.749,1,41,30000,0,0
8,61.787,0,47,20000,0,0
13.5,46.314,1,22,6500,0,0
18,44.726,1,29,20000,0,0
10,44.381,1,17,30000,30,0
13.5,47.648,0,40,30000,40,0
13.5,46.314,1,32,8500,10,0
13.5,47.004,1,47,30000,0,0
10,46.659,1,58,20000,20,0
18,44.45,1,74,30000,0,0
12,47.492,1,49,30000,20,0
6,47.211,1,69,5500,0,0
16,47.211,1,25,12500,0,0
6,45.278,1,71,1500,0,0
12,57.352,1,66,6500,1,0
10,57.49,1,25,12500,20,0
10,59.151,1,50,20000,0,0
13.5,57.03,1,19,2500,0,0
6,57.168,1,28,3500,3,0
15,58.996,1,22,12500,0,0
13.5,58.088,1,49,30000,20,0
12,57.536,1,39,20000,20,0
10,58.641,1,19,3500,9,0
12,57.812,1,60,30000,0,0
18,58.181,1,37,20000,18,0
12,58.088,1,62,12500,0,0
12,58.892,1,20,1500,0,0
16,58.135,1,23,4500,1,0
10,56.846,1,45,20000,60,0
12,57.398,1,28,30000,40,0
12,59.151,1,20,30000,6,0
12,58.319,1,51,20000,0,0
12,57.398,1,62,6500,0,0
12,59.048,1,55,30000,0,0
16,58.181,1,26,12500,0,0
12,58.088,0,41,20000,10,0
13.5,58.227,1,67,12500,0,0
10,57.398,1,19,30000,20,0
18,56.754,1,33,20000,0,0
18,57.398,1,29,12500,0,0
12,57.444,1,49,20000,20,0
12,59.048,1,29,3500,20,0
15,58.841,1,32,20000,0,0
16,57.812,1,31,30000,60,0
10,57.904,1,17,20000,50,0
13.5,57.536,1,33,20000,0,0
12,58.737,1,21,12500,0,0
10,58.319,1,59,20000,30,0
13.5,56.984,1,25,30000,20,0
8,57.398,1,32,30000,60,0
12,58.411,1,25,20000,0,0
13.5,58.737,1,61,6500,40,0
18,58.892,1,66,30000,0,0
10,57.398,1,22,12500,25,0
12,57.49,1,24,6500,10,0
18,58.135,1,43,30000,0,0
12,59.048,1,51,20000,0,0
16,57.812,1,45,30000,0,0
12,58.841,1,45,20000,0,0
18,57.398,1,66,8500,0,0
12,58.892,0,38,30000,0,0
10,56.846,1,49,20000,30,0
13.5,57.444,1,29,8500,1,0
16,56.846,1,45,30000,33,0
18,60.873,1,43,30000,80,0
12,61.156,1,49,30000,0,0
13.5,62.718,1,20,30000,0,0
13.5,63.273,1,41,20000,20,0
12,58.46,1,31,20000,0,0
13.5,60.021,1,28,12500,0,0
12,59.028,1,36,12500,0,0
18,54.429,0,37,20000,0,0
12,53.344,1,18,500,0,0
15,52.579,1,22,2500,0,0
18,52.7,1,33,20000,0,0
10,53.143,1,76,4500,0,0
13.5,52.7,1,34,20000,0,0
13.5,60.786,0,78,2500,0,0
12,60.974,1,31,3500,15,0
10,61.269,1,42,12500,0,0
18,61.216,1,32,5500,10,0
8,60.746,1,80,12500,0,0
12,61.751,1,40,8500,10,0
16,61.242,1,53,30000,0,0
6,60.826,0,82,12500,0,0
6,61.055,1,18,8500,11,0
8,61.081,0,46,12500,10,0
12,61.202,1,60,20000,0,0
8,61.684,1,78,6500,0,0
12,60.947,1,47,30000,0,0
10,60.813,1,17,30000,0,0
12,60.759,1,27,20000,2,0
18,61.242,1,48,30000,0,0
18,61.028,1,39,30000,0,0
12,61.229,1,25,30000,0,0
12,61.885,1,30,3500,10,0
18,60.746,1,59,20000,0,0
16,61.041,1,47,30000,0,0
12,61.189,1,32,8500,20,0
10,61.189,1,17,20000,20,0
13.5,60.786,1,23,30000,0,0
12,61.256,1,20,12500,0,0
13.5,60.974,1,32,20000,0,0
13.5,61.001,1,19,30000,10,0
12,61.095,1,23,20000,0,0
10,61.229,1,18,6500,0,0
12,61.229,1,54,20000,30,0
12,60.947,1,65,20000,20,0
8,60.974,1,55,6500,0,0
12,61.001,1,29,30000,30,0
12,61.885,0,19,5500,8,0
16,60.786,1,27,12500,0,0
12,61.256,1,26,12500,35,0
10,61.189,1,59,30000,20,0
12,60.732,1,25,20000,0,0
16,61.041,1,78,12500,0,0
6,60.826,1,69,6500,20,0
10,61.216,1,58,20000,0,0
15,51,1,24,12500,0,0
12,51,1,54,12500,0,0
12,51,1,48,20000,0,0
12,51.04,1,59,30000,30,0
10,51.04,1,38,20000,40,0
16,50.919,1,29,30000,0,0
12,51.443,1,33,12500,50,0
6,51,1,32,2500,0,0
18,57.982,1,36,30000,0,0
6,59.996,0,49,30000,20,0
16,58.04,1,69,20000,0,0
12,60.868,0,18,30000,20,0
18,57.982,1,72,20000,0,0
18,60.803,1,35,12500,40,0
8,58.788,0,71,1500,0,0
13.5,58.615,1,47,30000,0,0
12,58.442,1,20,500,0,0
12,60.168,1,43,20000,0,0
12,60.347,1,65,4500,0,0
8,60.226,1,23,2500,10,0
12,59.996,1,44,30000,40,0
13.5,63.989,0,28,20000,0,0
18,64.235,1,67,20000,0,0
13.5,62.858,1,32,12500,0,0
8,63.519,1,37,20000,0,0
13.5,63.928,1,32,12500,4,0
6,63.577,1,57,20000,0,0
10,63.145,1,55,20000,30,0
12,63.663,1,31,30000,0,0
12,63.088,1,57,30000,0,0
13.5,63.744,0,54,30000,0,0
16,63.989,0,24,20000,25,0
13.5,63.692,1,33,12500,0,0
16,62.829,1,49,30000,0,0
10,63.548,1,19,12500,0,0
16,62.57,1,50,8500,20,0
18,62.829,1,58,30000,0,0
10,62.973,1,65,20000,0,0
10,64.235,1,18,8500,0,0
12,63.232,1,31,30000,20,0
12,62.829,1,34,20000,0,0
12,63.49,1,55,30000,0,0
16,63.26,1,28,12500,0,0
12,62.541,1,65,8500,20,0
8,63.928,0,68,5500,15,0
13.5,62.829,1,29,30000,0,0
12,62.656,0,29,20000,10,0
12,62.858,1,61,8500,0,0
16,63.375,1,45,30000,0,0
15,63.318,1,66,20000,0,0
12,63.548,1,18,30000,0,0
16,62.685,1,44,30000,40,0
12,62.742,1,41,20000,0,0
6,62.829,1,31,8500,0,0
12,63.577,1,61,4500,40,0
10,63.232,1,29,20000,0,0
13.5,62.57,1,70,3500,12,0
6,63.692,1,49,5500,20,0
16,62.886,0,35,20000,0,0
12,63.203,1,28,20000,15,0
12,63.548,0,30,20000,0,0
13.5,63.989,0,23,12500,0,0
12,62.771,1,35,20000,0,0
12,63.26,1,24,8500,0,0
16,63.663,0,22,30000,0,0
10,63.663,1,49,30000,0,0
12,63.232,1,38,30000,30,0
12,56.174,0,22,30000,0,1
16,56.51,0,45,20000,0,1
18,56.174,0,39,30000,0,1
15,54.63,1,61,12500,0,1
12,54.764,1,19,30000,0,1
18,56.174,1,36,20000,0,1
10,54.764,1,21,30000,0,1
16,54.63,1,38,30000,0,1
12,46.932,1,39,30000,0,0
18,47.035,1,29,20000,0,0
13.5,48.798,1,44,30000,0,0
12,46.31,1,46,30000,10,0
13.5,47.657,1,26,30000,0,0
13.5,48.071,1,30,20000,0,0
12,47.346,1,47,20000,40,0
6,48.545,1,64,20000,0,0
12,47.501,1,18,20000,5,0
12,47.346,1,37,12500,20,0
10,47.605,0,67,12500,0,0
10,47.812,1,29,20000,20,0
18,46.466,1,60,30000,5,0
12,46.776,1,39,20000,0,0
13.5,46.31,1,59,20000,15,0
6,46.518,1,75,1500,0,0
12,48.545,1,19,30000,15,0
13.5,63.45,1,27,20000,6,0
13.5,62.227,1,62,20000,0,0
12,63.113,1,63,30000,20,0
12,63.408,1,60,30000,0,0
12,62.86,1,46,30000,20,0
12,62.227,1,28,6500,0,0
13.5,62.227,1,20,20000,15,0
12,63.366,1,50,20000,0,0
15,62.1,1,43,30000,0,0
12,63.366,1,45,30000,55,0
12,63.282,1,62,6500,0,0
6,63.282,1,70,4500,12,0
12,64.161,1,58,12500,0,0
12,64.107,1,21,30000,0,0
13.5,63.028,1,27,1500,0,0
18,64.214,1,47,30000,0,0
10,63.999,1,68,12500,0,0
10,63.282,1,17,30000,2,0
16,62.227,1,35,20000,0,0
12,62.691,1,37,30000,0,0
16,63.838,1,30,20000,20,0
10,63.408,1,19,30000,0,0
12,63.493,1,54,12500,30,0
12,63.838,1,41,30000,10,0
12,62.227,1,34,30000,0,0
13.5,62.691,1,28,6500,20,0
13.5,62.185,1,26,20000,30,0
12,62.48,1,18,30000,0,0
12,62.868,1,19,20000,0,0
6,61.251,1,29,20000,0,0
8,59.988,1,60,12500,15,0
18,61.393,1,50,20000,0,0
12,60.707,1,52,20000,40,0
15,61.251,1,22,30000,5,0
10,60.036,1,38,20000,40,0
10,60.227,1,63,12500,0,0
16,60.995,1,23,12500,0,0
18,61.818,0,52,30000,20,0
18,61.676,1,31,12500,0,0
16,60.707,1,30,20000,0,0
10,59.988,1,18,20000,0,0
