Year,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,Portfolio6,Portfolio7,Portfolio8,Portfolio9,Portfolio10,Portfolio11,Portfolio12,Portfolio13,Portfolio14,Portfolio15,Portfolio16,Portfolio17,Portfolio18,Portfolio19,Portfolio20,Portfolio21,Portfolio22,Portfolio23,Portfolio24,Portfolio25,Portfolio26,Portfolio27,Portfolio28,Portfolio29,Portfolio30,Portfolio31,Portfolio32
1967.166667,5.1912,7.8441,8.3192,6.2432,6.9416,9.152,6.2065,7.0795,7.0609,7.2639,3.0832,-0.8344,3.8462,6.7239,-1.7773,-3.1298,1.805,5.8749,2.4344,4.8978,1.4448,2.6706,3.5398,5.7615,2.905,4.3173,2.3951,9.6953,5.5219,5.4677,9.1723,10.8179
1967.25,4.1978,5.6103,3.7979,5.7974,3.5761,2.4697,4.6453,5.2373,1.6466,2.9459,5.1002,-3.921,4.4652,5.4698,4.4453,10.8936,14.7136,2.2625,3.1042,7.5702,1.8619,3.8209,3.8329,2.6997,0.428,1.4323,1.1809,2.0643,3.6692,1.0521,7.9734,-4.7619
1967.333333,2.7278,0.2262,0.5707,-2.7488,-2.9433,-2.3061,-1.4364,-0.0311,-1.0746,-0.9968,-3.062,-1.2535,-1.5488,-0.3222,-0.7831,-6.0852,-7.5581,-2.9693,-4.702,-5.8042,-2.7638,-3.3931,-3.4952,-2.6107,-4.5819,-2.9316,-3.4353,-3.8044,-3.5201,-1.3922,-6.6983,-2.6
1967.416667,12.8755,15.8907,9.7586,8.3508,8.0192,11.3956,4.0147,10.2954,10.1985,8.8026,9.0567,8.7977,8.3635,6.4515,10.6621,13.9828,1.757,0.8155,0.7879,1.9144,0.7992,-0.7993,0.7404,3.2097,2.0489,1.0182,4.2683,-0.38,4.2853,2.0567,1.7836,0
1967.5,8.629,4.5851,4.3024,7.8095,9.3712,7.788,7.7277,10.4927,9.9454,9.0307,10.5542,7.1503,9.7797,12.7669,9.0144,22.6954,13.4617,5.1683,4.0694,4.0713,5.8365,3.2197,3.8136,8.2105,-1.6825,6.276,7.1199,4.0492,7.7126,7.3905,7.7332,6.6587
1967.583333,-2.041,-4.3289,0.2481,0.9127,-0.2047,1.655,0.1237,0.5203,-0.2049,-0.2434,1.398,5.8943,0.0393,-0.6026,-0.1585,6.2938,-1.05,-0.4836,-1.1965,-0.5242,-1.1265,-2.2366,-0.1292,-1.364,-0.7436,-1.1577,-0.7791,-4.2042,-1.0841,0.7565,3.7334,1.6858
1967.666667,5.7006,7.3838,5.2165,6.2406,8.3323,7.5645,4.3721,3.5754,7.5647,5.3595,5.7028,2.4682,5.2488,5.8796,1.2405,8.9022,9.3497,0.1813,0.5249,5.2186,7.6776,-0.0195,3.1594,2.7849,3.0606,3.2239,4.9222,-0.6469,0.4055,2.8873,5.6109,-2.8826
1967.75,-1.72,2.0979,1.9214,-2.5608,-0.8874,-3.0677,-1.5396,-5.7837,-2.4512,-1.6236,-6.4579,-5.2086,-2.4667,-5.4748,-5.896,0.09,-1.8343,-1.3209,-5.8901,0.6308,-1.1628,-5.0702,-2.5371,-4.5662,-4.0726,-1.5592,-4.2206,-2.6739,-4.3717,-6.6254,-2.9722,-8.3431
1967.833333,3.2123,0.1435,1.2518,1.7897,-4.5132,2.2376,0.0782,2.2701,-2.3847,-1.9011,-0.6814,0.8159,-0.6017,-1.3825,0.1019,6.015,0.8418,2.5741,1.4032,1.3575,-0.1296,3.8641,0.2965,-0.9455,1.1653,-0.0038,-2.4481,-0.457,-1.68,0.5984,1.0887,-1.4726
1967.916667,17.1993,7.6605,10.0204,8.486,11.7977,5.4841,5.4788,7.0768,7.6446,6.1064,7.8492,3.1892,11.0048,4.8174,6.909,10.5589,-1.1453,1.8274,4.6379,1.5725,4.4793,1.215,4.0313,2.7456,0.8183,3.813,5.2465,5.8995,6.3868,4.0511,2.0519,-3.1424
1968,2.5126,-1.5813,-1.8538,-1.4928,-5.4273,4.1801,0.32,3.8123,5.6874,0.7081,3.0023,3.4611,2.0868,7.362,3.0829,5.9108,-10.9471,-3.4614,-5.3186,-7.7805,-3.9478,-4.8535,-4.5655,-3.9702,1.2686,-1.0643,-4.2271,-4.1886,-1.74,-4.1485,-4.0886,8.2583
1968.083333,-7.563,-10.5626,-9.0313,-6.3782,-4.0555,-4.1746,-4.0349,-2.9738,-5.6133,-5.4426,-3.3398,-8.1029,-4.6353,-4.9404,-3.1952,4.1554,-6.139,-1.3016,-2.8597,-3.3233,-2.9525,-4.372,-3.4179,-3.0556,-2.1992,-1.4147,-0.7086,-0.4101,-4.0241,-2.4152,-6.1576,2.4181
1968.166667,-4.0018,0.4869,-2.2126,-0.2393,1.1218,-1.335,-1.6548,-2.1827,-2.3277,1.2405,-0.7736,-0.9496,-0.2589,1.1521,-4.6378,2.5124,9.7886,2.8504,-1.6625,3.3874,-3.009,-1.654,0.2618,0.291,-0.8226,0.0712,-2.6511,1.0759,-0.5195,-0.8884,-0.9281,-0.5962
1968.25,20.8883,17.8596,12.1116,17.1032,15.3226,13.0257,11.6502,17.4273,15.3259,12.6117,9.3168,14.2513,16.0173,11.6975,14.8417,11.5979,13.7085,10.84,10.5901,11.6051,5.3493,6.8146,9.2104,9.1459,3.7518,3.8737,6.8233,3.2012,9.2761,11.487,13.3508,18.7034
1968.333333,10.8027,10.8967,12.3588,9.1458,10.2547,9.0301,6.9665,9.1966,11.1158,7.6549,4.5463,10.7162,7.8628,11.0307,8.6319,-1.6712,4.0445,1.8932,4.7964,2.4752,4.6453,1.1646,0.9811,1.483,-0.6616,-0.4484,2.6684,2.2875,2.3185,1.6017,-1.4353,2.653
1968.416667,-2.9171,2.689,-1.134,0.3697,5.1572,0.5032,2.093,2.0679,0.8614,1.4245,4.5724,-0.2549,0.2547,1.369,-0.8186,-8.6452,-2.8335,0.1754,1.4148,-0.8921,-0.8096,2.6413,1.103,1.3452,4.7828,3.7648,0.8568,1.1987,1.7598,-1.9197,2.8578,-6.8165
1968.5,-4.4542,-10.148,-4.5414,-5.5233,-1.6061,-4.0087,-2.853,-4.3487,0.2289,-2.2276,1.3001,-0.7399,0.784,-2.2932,-1.1472,3.7492,-7.2626,-6.9373,-4.5639,-5.359,1.9315,-3.6457,-2.3134,-1.6645,-3.549,4.4681,-1.155,-2.9238,0.1244,0.893,3.858,-1.7551
1968.583333,2.9354,2.468,3.111,4.8536,3.9794,2.5356,3.3469,3.9803,5.1144,4.6704,2.5021,2.3988,4.6076,5.5559,5.4368,-3.5526,-0.3157,-0.1914,-0.179,1.4028,1.4222,1.5126,-0.1066,1.2321,3.9721,1.4512,1.1808,1.24,2.6609,1.9501,-3.1144,1.7551
1968.666667,9.521,5.9314,7.4591,7.3112,10.0448,6.2077,6.2357,8.034,10.0808,6.0305,4.2546,4.7017,7.1657,6.5528,3.3385,2.5399,1.5183,6.8999,4.6394,1.5374,5.6685,3.2801,4.3941,6.3001,5.6002,2.4132,4.3465,6.3267,7.3266,3.2489,6.4426,8.5111
1968.75,-1.6608,-0.7575,-1.9479,0.0573,-0.1617,1.8048,1.793,3.3999,1.2797,2.2763,3.0765,2.7234,0.0247,3.6315,-0.4732,-5.422,0.4103,-2.2345,-2.5055,-1.6533,2.0668,0.6733,0.6887,3.2622,1.2297,2.2496,1.2459,-2.2423,2.8822,3.5089,0.8041,7.6317
1968.833333,8.322,8.2076,8.8962,8.3916,8.3893,10.2495,6.7078,5.7238,8.6882,7.0913,8.3917,7.7018,6.1972,6.2873,4.5885,18.3386,6.7978,3.4118,8.9231,6.5965,3.1525,5.7997,6.1697,1.6422,7.5143,5.7098,7.4118,2.1968,4.7248,5.2149,4.3358,5.5879
1968.916667,3.3522,3.6068,-0.7316,-0.7341,5.6485,-2.9872,-0.9275,-0.4581,1.0966,-1.4328,-1.9412,-1.069,0.0103,-0.9518,-2.399,4.3606,-4.3683,-4.1942,-5.3772,-5.1295,-6.131,-4.7905,-4.3041,-3.7109,-3.328,-3.1994,-2.7543,-1.3313,-2.6134,-4.1354,-0.3304,-0.2024
1969,2.1701,-0.6055,-4.07,-2.6895,-2.4427,-2.0222,0.0017,-1.9948,1.3251,-1.1044,0.7094,-1.4221,-1.5021,-1.0136,-2.5317,-4.3278,-2.7744,-0.097,-2.2453,-2.6279,-0.787,1.6702,0.4747,-1.0239,0.5589,1.2868,-0.3573,1.2718,-0.1991,-0.3371,1.0841,0.8447
1969.083333,-15.7809,-10.5052,-9.1724,-8.925,-10.6764,-9.6561,-7.3742,-6.6532,-8.5605,-6.7113,-6.9584,-7.4909,-8.4573,-7.8781,-6.118,-17.3459,-10.0391,-3.4288,-4.1933,-3.8803,-1.3387,-6.5736,-5.0926,-3.2195,-8.9067,-4.4159,-5.7553,-6.1016,-6.0337,-3.9883,-5.9894,-5.8623
1969.166667,4.1704,3.5296,3.5115,2.4914,2.7777,1.7369,2.3488,3.3763,6.7399,2.4981,1.4034,1.1861,3.4795,2.483,1.2344,2.225,0.7597,8.5426,4.6322,3.5859,3.6813,1.4378,0.6253,2.9651,3.5593,4.5019,2.6749,-3.4891,5.6147,0.1692,-1.6323,-1.7592
1969.25,1.3763,0.3185,2.3207,0.2062,6.4462,0.3325,1.5035,-0.0565,1.7523,3.527,-0.1818,0.4676,1.3993,-0.2088,0.3506,-0.7606,1.6707,4.2065,4.6022,3.4726,-0.6772,1.9018,2.2257,1.1434,2.2761,0.4584,-0.5688,-4.9871,0.9115,5.017,-3.8091,-3.6168
1969.333333,1.8382,1.4782,0.9975,-1.9398,-0.9092,-0.1625,0.2194,3.3614,1.2731,0.1635,0.2861,0.6491,1.3849,0.3716,-0.8133,3.6232,-4.5543,-1.7829,1.6504,-0.6651,-0.314,-0.5791,-0.951,2.0386,0.7077,1.3095,1.8461,-5.9285,1.2421,0.4094,5.246,-3.0248
1969.416667,-14.6354,-14.4995,-10.8624,-11.1383,-13.4547,-11.0118,-10.4249,-10.4869,-13.4076,-11.6994,-8.3962,-8.7863,-11.1722,-11.7732,-9.3811,-17.8339,-9.5066,-4.1042,-3.8085,-1.3334,-9.3426,-7.7715,-5.0162,-6.4323,-13.0258,-7.9498,-6.9215,-7.3103,-8.2205,-5.6067,-7.5836,-8.5325
1969.5,-13.2719,-11.4892,-11.2666,-10.3672,-10.6119,-10.4556,-7.9655,-10.4798,-9.3801,-8.3409,-6.9377,-7.8547,-9.2245,-6.7975,-3.4088,-7.5342,-10.7029,-3.8587,-6.0638,-4.186,-11.8779,-5.8741,-5.7891,-6.3902,-9.5632,-8.2613,-5.0884,-7.5234,-6.6193,-4.5893,-8.5555,-6.7485
1969.583333,4.9454,8.7666,6.9237,8.4669,5.5228,5.1383,5.4318,6.4797,6.659,4.0579,1.0255,5.4284,3.1627,3.6382,0.6118,1.8519,9.8755,11.2536,9.7338,6.6753,9.7622,6.0631,3.0794,3.0538,8.6108,4.7255,0.4489,7.5805,2.9854,1.7789,3.4384,0
1969.666667,-3.7379,3.1724,-2.0636,0.1489,-3.2059,-1.7816,-3.2619,-2.0936,-0.2808,-2.3399,-1.8422,1.2021,-2.9761,-1.1446,-4.3969,-1.8182,3.8383,-2.8475,0.0683,-0.3115,-7.8203,-0.2853,-0.7778,-2.6041,-6.808,-5.1568,-1.5308,0.5238,-5.2182,-4.1273,-4.3431,-3.9474
1969.75,11.5402,13.3322,9.6302,10.6036,14.468,9.4175,9.6043,5.5498,8.3222,6.2209,4.3628,9.6974,5.3908,9.481,5.092,-8.2707,16.6066,4.8709,4.6374,6.7893,10.315,4.5523,6.562,3.681,4.3179,1.6948,7.8078,9.9144,4.2075,3.8572,6.1504,-19.4301
1969.833333,-7.153,-5.1102,-6.8158,-4.9888,-4.439,-4.4811,-4.1235,-7.1199,-6.7928,-4.73,-5.5981,-3.0339,-5.8699,-6.7939,-4.8751,-3.2787,-4.1323,-0.2757,-3.4445,-1.4002,-0.4301,-3.6547,-3.2875,-4.1433,-4.101,-4.4093,-3.1076,-1.9616,-5.6916,-1.1877,-5.6153,-13.7931
