year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,totrain
1988,410665,12,1000000,29120,0.08,0.03,16,0,0,2
1989,410665,14,1200000,29120,0.03,0.09,16,0,0,4
1987,410679,30,,26000,,3,,0,0,30
1988,410679,30,,26000,,3,,0,0,30
1989,410679,28,,27000,,3,,0,0,28
1987,410680,27,2873000,19762,,,100,0,0,14
1988,410680,61,6097000,21120,,,50,0,0,5
1989,410680,52,5670000,22360,,,70,0,0,9
1987,410685,24,2213235,20004,0.14,,,0,0,24
1988,410685,20,2100943,19078,0.16,,,0,0,20
1989,410685,20,2174049,21099,0.23,,,0,0,20
1987,410686,6,2100000,16640,,,0,0,0,0
1988,410686,7,1800000,18720,,,10,0,0,2
1989,410686,6,1600000,20800,,,0,0,0,0
1987,418006,63,,25900,,,0,0,0,0
1988,418006,57,,25300,,,45,0,1,24
1989,418006,59,,26800,,,40,0,0,35
1987,418007,26,2200000,10712,,1.9,,1,0,26
1988,418007,24,1800000,10940,,2.6,,1,0,24
1989,418007,21,1700000,11148,,1.2,,1,0,21
1987,418008,10,900000,,,,0,0,0,3
1988,418008,10,1200000,,,,16,0,1,10
1989,418008,12,1100000,20000,,,0,0,0,1
1987,418011,70,4200000,12400,10,9,0,1,0,0
1988,418011,50,3740000,13400,3,3,43,1,1,10
1989,418011,30,2040000,14000,2,1,40,1,0,5
1987,418013,20,750000,14560,,0.27,40,0,0,2
1988,418013,18,800000,16640,,0.25,60,0,1,3
1989,418013,20,950000,17680,,0.21,40,0,0,3
1987,418014,9,6802180,13478,,,256,0,0,2
1988,418014,12,936477,14269,,,281,0,1,7
1989,418014,17,1437883,15558,,,256,0,0,5
1987,418021,11,1850000,12500,1,1,0,0,0,0
1988,418021,13,2078000,13100,1,1,40,0,1,2
1989,418021,13,2040000,13800,1,1,10,0,0,2
1987,418024,40,5500000,10400,,,0,0,0,0
1988,418024,60,6000000,10400,,,40,0,1,57
1989,418024,100,7000000,11020,,,20,0,0,10
1987,418035,30,1269000,14000,6,12,0,0,0,0
1988,418035,30,1681000,14500,5,11,23,0,1,24
1989,418035,31,1814000,15000,3,9,0,0,0,0
1987,418036,485,,17888,,,10,0,0,15
1988,418036,500,,18637,,,46,0,1,24
1989,418036,525,,19386,,,10,0,0,15
1987,418045,15,2000000,18000,2,1,30,0,0,2
1988,418045,15,2500000,20000,2,1,40,0,0,3
1989,418045,15,3500000,22000,2,1,150,0,0,15
1987,418046,15,,13000,,,0,0,0,0
1988,418046,20,,12000,,,24,0,1,20
1989,418046,25,,12000,,,4,0,0,25
1987,418051,,,,0.45,0.14,25,1,0,30
1988,418051,,,,0.5,0.17,13,1,1,199
1989,418051,,,,0.5,0.17,20,1,0,15
1987,418052,6,400000,25861,,,0,0,0,0
1988,418052,5,500000,25168,,,55,0,1,5
1989,418052,7,600000,23625,,,0,0,0,0
1987,418054,60,3330457,11500,1.25,,0,0,0,3
1988,418054,65,3765312,12500,1.54,,40,0,1,3
1989,418054,56,3533090,13200,0.96,,10,0,0,0
1987,418065,259,2.69E+07,15038,1.3,0.5,6,1,0,150
1988,418065,331,3.22E+07,15434,1.5,0.7,21,1,1,244
1989,418065,321,3.10E+07,16307,1,0.7,6,1,0,180
1987,418066,35,,,,,2,0,0,35
1988,418066,34,,,,,,0,1,34
1989,418066,36,,,,,3,0,0,36
1987,418076,60,3870000,19968,1.06,2,50,0,0,20
1988,418076,70,3882000,20800,0.8,1.5,52,0,1,41
1989,418076,70,5330000,21840,0.22,0.5,50,0,0,20
1987,418083,125,2.60E+07,20000,3,0.05,0,1,0,0
1988,418083,120,3.60E+07,20000,2,0,,1,1,120
1989,418083,60,2.20E+07,20000,1,0.03,32,1,0,20
1987,418084,40,1200000,10000,,,200,1,0,6
1988,418084,35,1100000,10300,,,,1,1,35
1989,418084,50,1300000,10700,,,200,1,0,6
1987,418091,150,1.10E+07,12000,8.18,,10,0,0,20
1988,418091,175,1.50E+07,14000,0.67,,30,0,1,74
1989,418091,200,1.80E+07,16000,0.56,,20,0,0,50
1987,418097,80,6000000,12480,1.67,15,5,0,0,5
1988,418097,150,7700000,14560,1.17,12,30,0,1,14
1989,418097,120,5643000,16640,1.42,10,0,0,0,0
1987,418098,15,,9360,,,0,0,0,0
1988,418098,18,,10400,,,40,0,1,18
1989,418098,22,,13520,,,80,0,0,3
1987,418107,10,307501,8500,0.98,,10,0,0,10
1988,418107,25,1961818,9000,0.51,,83,0,1,25
1989,418107,34,2650786,9400,0.45,,15,0,0,30
1987,418109,6,600000,16640,,,200,0,0,3
1988,418109,12,820000,18304,,,290,0,1,5
1989,418109,14,1200000,19552,,,320,0,0,4
1987,418118,16,1608573,35000,1,10,5,0,0,10
1988,418118,16,1342236,38000,0.5,5,25,0,1,16
1989,418118,16,1504283,41000,0.1,1,5,0,0,10
1987,418124,15,1600000,12000,,,0,0,0,0
1988,418124,20,1800000,13000,,,40,0,1,9
1989,418124,26,2000000,16000,,,8,0,0,6
1987,418125,72,1.05E+07,17700,0.45,,10,0,0,67
1988,418125,128,1.54E+07,19350,0.61,,31,0,1,128
1989,418125,168,2.30E+07,23250,0.6,,14,0,0,108
1987,418126,60,5600000,23000,,,30,0,0,10
1988,418126,50,6200000,25000,,,48,0,1,50
1989,418126,48,6300000,27000,,,30,0,0,6
1987,418140,17,,,8,,0,0,0,0
1988,418140,23,,,4,,80,0,1,23
1989,418140,20,,,2.5,,40,0,0,6
1987,418147,15,726833,9048,,,0,0,0,0
1988,418147,80,4005963,10088,,,40,0,0,40
1989,418147,30,2089704,10504,,,0,0,0,0
1987,418163,72,7742994,18305,9,,0,1,0,0
1988,418163,70,8273868,19828,7,,40,1,1,70
1989,418163,68,8329656,17893,6.5,,0,1,0,0
1987,418168,7,5449674,,0.01,,40,0,0,7
1988,418168,7,6131102,,0.11,,40,0,0,7
1989,418168,8,7332464,,0.2,,0,0,0,0
1987,418177,120,1.00E+07,28080,18,3,20,1,0,0
1988,418177,120,1.20E+07,28080,19,3,26,1,1,120
1989,418177,120,1.10E+07,28080,18,3,14,1,0,120
1987,418183,21,,14800,,2.4,,0,0,21
1988,418183,25,1800000,15100,,2.79,,0,0,25
1989,418183,30,2100000,16500,,2,,0,0,30
1987,418185,31,2000000,30000,,,,0,0,31
1988,418185,47,2200000,30000,,,,0,0,47
1989,418185,32,1800000,30000,,,,0,0,32
1987,418213,25,1400000,14000,,,10,0,0,3
1988,418213,30,1680000,16000,,,,0,1,17
1989,418213,39,2806000,17000,,,12,0,0,4
1987,418220,19,580000,8840,,,0,0,0,0
1988,418220,21,660000,9360,,,39,0,1,21
1989,418220,30,984000,10720,,,0,0,0,0
1987,418225,15,1300000,13000,,,0,1,0,0
1988,418225,18,1600000,14040,,,10,1,1,18
1989,418225,28,2300000,15080,,,0,1,0,0
1987,418229,6,490000,14560,,,0,0,0,4
1988,418229,7,580000,15600,,,0,0,0,6
1989,418229,8,660000,16640,,,0,0,0,4
1987,418237,28,4568907,19042,0.28,,0,1,0,0
1988,418237,28,4904008,19845,0.2,,12,1,1,14
1989,418237,29,5884603,20426,0.19,,10,1,0,4
1987,418239,80,6900000,13728,,0.22,20,0,0,20
1988,418239,65,8400000,14664,,0.24,20,0,0,25
1989,418239,75,7100000,15600,,0.42,20,0,0,30
1987,418243,12,,15000,,,0,0,0,0
1988,418243,14,,15000,,,0,0,0,0
1989,418243,15,,16000,,,0,0,0,0
1987,418245,25,3000000,20000,,,0,0,0,0
1988,418245,30,4000000,25000,,,0,0,0,0
1989,418245,40,6000000,30000,,,0,0,0,0
1987,419198,17,1083644,24000,7,10,56,0,0,6
1988,419198,13,851605,24000,5,8,88,0,1,13
1989,419198,9,885852,16000,4,7.5,56,0,0,1
1987,419201,20,3499895,14560,2,,0,0,0,0
1988,419201,17,4008997,16848,2,,24,0,0,6
1989,419201,13,3379103,18720,2,,0,0,0,0
1987,419242,70,6400000,16141,3.97,,6,1,0,60
1988,419242,65,6800000,16578,3.83,,36,1,1,65
1989,419242,30,2100000,16952,5.7,,4,1,0,30
1987,419268,6,564694,22866,1.39,1.39,0,0,0,0
1988,419268,6,620439,22995,1.16,1.16,0,0,0,0
1989,419268,6,783261,29114,0.9,0.9,32,0,1,6
1987,419272,35,4200000,31000,20.5,3.03,60,0,0,6
1988,419272,40,4800000,33000,24,4.17,10,0,0,8
1989,419272,43,5200000,34800,17,1.88,80,0,1,43
1987,419275,15,930000,30000,,,100,0,0,4
1988,419275,18,980000,33000,,,100,0,0,5
1989,419275,21,1500000,35000,,,150,0,1,10
1987,419276,12,1200000,28000,,,,0,0,12
1988,419276,10,1300000,30000,,,,0,0,10
1989,419276,8,1100000,30000,,,,0,0,8
1987,419289,13,1200000,18720,1.5,,0,0,0,0
1988,419289,14,1350000,20800,1.41,,0,0,0,0
1989,419289,15,1480000,29120,0.95,,72,0,1,15
1987,419297,150,2.27E+07,22006,0.2,0.4,50,1,0,100
1988,419297,178,3.08E+07,22027,0.31,0.32,40,1,0,60
1989,419297,171,2.84E+07,24107,0.27,0.48,20,1,0,40
1987,419298,80,1.00E+07,33280,,,0,1,0,0
1988,419298,70,9000000,32240,,,0,1,0,0
1989,419298,65,9500000,30784,,,40,1,1,60
1987,419302,333,,22360,,,0,0,0,0
1988,419302,340,,22360,,,8,0,0,24
1989,419302,337,,22526,,,12,0,1,337
1987,419303,6,875000,13500,,1.5,0,0,0,0
1988,419303,8,1.59E+07,14100,,1,20,0,0,2
1989,419303,11,2250000,15050,,1.25,75,0,1,11
1987,419305,5,,,,,0,1,0,0
1988,419305,5,,,,,0,1,0,0
1989,419305,5,,,,,9,1,1,5
1987,419307,262,1.81E+07,22360,1,1.09,0,0,0,4
1988,419307,264,1.93E+07,23026,0.85,1.07,24,0,0,3
1989,419307,302,2.22E+07,21736,0.89,1.07,44,0,1,302
1987,419309,6,600000,24960,,0.33,15,0,0,6
1988,419309,9,750000,28080,,0.4,20,0,0,9
1989,419309,12,1000000,30160,,0.4,55,0,1,12
1987,419312,60,5845000,21133,,,,0,0,60
1988,419312,71,6927000,20904,,,,0,0,71
1989,419312,97,1.10E+07,21445,,,,0,0,97
1987,419319,60,,,,,40,0,0,60
1988,419319,69,,,,,50,0,0,69
1989,419319,78,,,,,50,0,0,78
1987,419328,27,2700000,,,,0,1,0,0
1988,419328,27,2800000,,,,0,1,0,0
1989,419328,27,2800000,,,,12,1,1,27
1987,419335,57,8486927,40563,,,0,0,0,0
1988,419335,53,4327519,37429,,,40,0,0,10
1989,419335,62,8533205,42583,,,40,0,0,5
1987,419339,40,8000000,15000,0.5,0.3,0,1,0,0
1988,419339,40,8500000,15500,0.59,0.34,0,1,0,0
1989,419339,60,1.00E+07,17000,0.45,0.22,0,1,0,0
1987,419343,100,1.00E+07,15000,5,7,70,1,0,5
1988,419343,125,1.20E+07,16000,4,8,25,1,0,21
1989,419343,290,4.80E+07,18700,3,10,17,1,1,290
1987,419344,,,,,,0,0,0,0
1988,419344,,,,,,0,0,0,0
1989,419344,9,1000000,17000,,,0,0,0,0
1987,419347,,,,,,0,0,0,20
1988,419347,,,,,,8,0,0,25
1989,419347,,,,,,13,0,1,81
1987,419351,12,,18000,,,0,0,0,0
1988,419351,14,,18000,,,15,0,0,0
1989,419351,14,,19000,,,25,0,1,14
1987,419357,60,6870314,12750,2,2,50,0,0,60
1988,419357,65,7079852,11875,1,1,75,0,0,65
1989,419357,75,8040128,12625,0.5,0.5,120,0,1,75
1987,419375,,2900000,,,,0,0,0,0
1988,419375,,2500000,,,,25,0,0,10
1989,419375,,3100000,,,,140,0,1,8
1987,419376,32,6000000,15250,,,2,1,0,5
1988,419376,36,6100000,16290,,,4,1,0,10
1989,419376,40,6300000,17370,,,38,1,1,40
1987,419378,20,2700000,10920,2.71,,50,0,0,5
1988,419378,22,3100000,11856,1.52,,75,0,0,12
1989,419378,37,4700000,13520,1.34,,154,0,1,37
1987,419379,201,,23167,,,0,0,0,0
1988,419379,201,,25929,,,0,0,0,0
1989,419379,237,,24965,,,24,0,1,70
1987,419380,45,1.00E+07,,,,0,0,0,0
1988,419380,50,1.00E+07,,,,0,0,0,0
1989,419380,55,1.20E+07,,,,10,0,0,55
1987,419381,14,1585000,14560,0.65,,60,0,0,1
1988,419381,11,1560000,19240,0.55,,0,0,0,0
1989,419381,12,1747000,20280,0.38,,50,0,1,12
1987,419384,50,,24960,,,0,0,0,0
1988,419384,73,,26520,,,0,0,0,2
1989,419384,83,,28080,,,110,0,1,30
1987,419388,40,2400000,16307,11,9,2,0,0,10
1988,419388,36,2300000,16827,8,7,4,0,0,15
1989,419388,33,2700000,17347,6,3,18,0,1,33
1987,419392,15,,18000,,,,0,0,15
1988,419392,18,,19500,,,,0,0,18
1989,419392,21,,20900,,,,0,0,21
1987,419400,6,373164,17680,,,170,0,0,2
1988,419400,8,422611,17680,,,170,0,0,4
1989,419400,9,390210,17846,,,170,0,0,4
1987,419401,62,5000000,29000,,,72,0,0,13
1988,419401,74,6000000,34000,,,72,0,0,13
1989,419401,82,8000000,39000,,,72,0,0,13
1987,419406,,1842243,,,,,0,0,
1988,419406,,2072633,,,,,0,0,
1989,419406,,2314928,,,,,0,0,
1987,419409,75,8450000,13416,2.25,0.5,20,0,0,40
1988,419409,72,1.03E+07,15184,2.5,0.5,26,0,0,72
1989,419409,75,1.02E+07,17451,2,0.5,60,0,1,75
1987,419410,26,,26667,,14,100,0,0,6
1988,419410,24,,24856,,10,100,0,0,8
1989,419410,23,,25280,,9,120,0,1,23
1987,419420,19,1980000,15600,,,0,0,0,0
1988,419420,15,1600000,17160,,,0,0,0,0
1989,419420,12,1430000,18720,,,80,0,1,12
1987,419432,250,6000000,14352,5,3,,0,0,250
1988,419432,290,1.80E+07,15184,4.8,3,,0,0,290
1989,419432,350,5.40E+07,16432,5.2,4,,0,0,350
1987,419433,19,1700000,16640,,,50,0,0,4
1988,419433,19,2000000,17160,,,15,0,0,19
1989,419433,21,2200000,17680,,,49,0,1,11
1987,419434,89,1.14E+07,14394,,0,0,0,0,0
1988,419434,59,4748000,15454,,0.04,0,0,0,0
1989,419434,105,7175000,15558,,0.14,10,0,0,105
1987,419449,40,3317000,16640,,,30,0,0,40
1988,419449,55,3692000,16640,,,30,0,0,55
1989,419449,65,3252000,16640,,,30,0,0,15
1987,419450,175,1.25E+07,9360,,,0,0,0,0
1988,419450,225,1.25E+07,10400,,,0,0,0,0
1989,419450,275,1.82E+07,11440,,,3,0,0,200
1987,419459,110,1.51E+07,21000,1.67,0.21,20,1,0,35
1988,419459,125,1.60E+07,21000,2.5,0.23,20,1,0,40
1989,419459,225,2.89E+07,21000,1.12,0.15,20,1,0,160
1987,419461,24,,14800,,,0,0,0,0
1988,419461,23,,15200,,,0,0,0,0
1989,419461,36,,15800,,,40,0,1,30
1987,419467,4,1494764,30000,,,80,0,0,4
1988,419467,5,2566104,31000,,,100,0,0,5
1989,419467,10,2191680,35000,,,100,0,0,10
1987,419472,120,,13000,,,20,0,0,25
1988,419472,100,,13500,,,20,0,0,25
1989,419472,100,,14000,,,60,0,1,100
1987,419473,18,,,,,0,1,0,0
1988,419473,18,,,,,3,1,0,18
1989,419473,18,,,,,35,1,1,18
1987,419479,,,,,,0,0,0,0
1988,419479,30,1503906,15500,,,0,0,0,0
1989,419479,30,1360372,16500,,,20,0,0,13
1987,419482,15,,,2.7,,0,0,0,0
1988,419482,15,1000000,10000,2.59,,0,0,0,0
1989,419482,18,1000000,10000,2.8,,24,0,0,18
1987,419483,133,1.10E+07,13957,20,,0,1,0,0
1988,419483,108,1.15E+07,14810,25,,0,1,0,0
1989,419483,129,1.20E+07,14227,30,,20,1,0,20
1987,419486,80,7000000,16000,,,0,0,0,0
1988,419486,90,8500000,17000,,,0,0,0,0
1989,419486,100,9900000,18000,,,40,0,1,90
